city1_name,city2_name,weight
Kanchrapara,Kalyani,716.3560520853996
Dispur,Guwahati,1888.050463226452
Panihati,Kamarhati,2226.3898158654238
Kanchrapara,Halisahar,2451.0092374265414
Titagarh,Khardah,2451.735276230052
Halisahar,Bansbaria,3026.4418524658804
Champdani,Bhadreswar,3027.9776777123757
Panihati,Rishra,3029.0984714758765
Naihati,Hugli,3076.376702892155
Shrirampur,Titagarh,3274.8846696623273
Rishra,Khardah,3275.520087355844
Bhatpara,Chandannagar,3425.8730161744447
Bhatpara,Naihati,3722.356875173609
Kamarhati,Bali,3801.875862160842
Kalyan,Ulhasnagar,3880.246763721414
Baidyabati,Bhadreswar,4542.043063083217
Shrirampur,Baidyabati,4903.2188457750535
Delhi,New Delhi,5330.22947384742
Naihati,Halisahar,5565.974539663757
Bezwada,Tadepalle,5844.4486139634
Paloncha,Kottagudem,6053.93335611407
Kolkata,Haora,6148.0659467053565
Chandannagar,Bhadreswar,6220.618288178286
Rajahmundry,Kovvur,6492.758203984802
Mangalagiri,Tadepalle,6722.124786314215
Barasat,Jaynagar-Majilpur,6724.6594988233055
Chandigarh,Mauli,7206.207099848272
Haora,Bali,7356.241177920584
Madhyamgram,Khardah,7525.120016204686
Kamarhati,Dam Dam,7574.142660001265
Ramgundam,Mancheral,7699.16067947508
Hindupur,Parigi,7725.366013507732
Belampalli,Mandamari,8289.877601776638
Secunderabad,Bodupal,9236.090141849358
Ajmer,Pushkar,9556.474557160684
Hyderabad,Secunderabad,9924.633367871418
Mathura,Vrindavan,10965.185121589018
Kalyan,Bhiwandi,11281.040968839521
Kharagpur,Medinipur,11519.500799051164
Machilipatnam,Pedana,11690.430646895213
Asansol,Jamuria,11698.191510500968
Palakollu,Narasapur,12345.293459491279
Pithapuram,Samalkot,12533.872794392593
Nidadavole,Kovvur,12700.427841892055
Pune,Chinchvad,12841.560665936804
Mancheral,Mandamari,12852.080021382379
Asansol,Kulti,12981.169777693958
Chicacole,Amudalavalasa,12990.984575574805
Mysore,Shrirangapattana,13001.75187126496
Jhansi,Orchha,13061.104199423236
Nagari,Puttur,13747.724580447548
Krishnanagar,Navadwip,13755.093049546587
Deo,Aurangabad,13910.711964140228
Koratla,Metpalli,13971.035783730404
Kakinada,Samalkot,14251.324684167292
Sannai,Maihar,14693.880934522867
Mumbai,Uran,14963.557671087974
Chirala,Bapatla,14965.107660758904
Amudalavalasa,Narasannapeta,15284.054543860686
Curchorem,Loutolim,15663.494377304747
Chicacole,Ponduru,16164.54675233432
Ingraj Bazar,Mahadipur,16164.642503664387
Bhilai,Drug,16185.25108748155
Baramula,Sopur,16340.444984352025
Mandapeta,Draksharama,16619.00343356972
Bhubaneshwar,Jatani,17014.49834290072
Ootacamund,Kilkunda,17092.49618758697
Thane,Bhiwandi,17220.584583909822
Chilakalurupet,Pedda Nandipadu,17445.296968429
Thane,Bhayandar,17895.43850613364
Guntur,Mangalagiri,17986.327259916707
Krishnanagar,Shantipur,18166.5109503299
Delhi,Ghaziabad,18251.658913868112
Bhavnagar,Sihor,18714.103086470855
Tanuku,Nidadavole,19192.367798315405
Navsari,Chikhli,19198.280779727556
Bhimavaram,Narasapur,19501.13080034253
Khammam,Niala Kondapalle,19763.149765359918
Rajahmundry,Mandapeta,20078.751873651665
Narasaraopet,Chilakalurupet,20335.709564277924
Tadepallegudem,Nidadavole,20520.610722741145
Narasaraopet,Sattenapalle,20556.369031145387
Sopur,Bandipura,20563.983551799553
Handwara,Sopur,20708.6157611486
Chipurupalle,Ponduru,20859.247517730528
Bhilai,Raipur,20928.315139057882
Shimla,Solan,21003.847722519167
Bhubaneshwar,Cuttack,21049.986237419995
Nizamabad,Bodhan,21092.348790832733
Tenali,Ponnuru,21132.71938748001
Sangli,Ichalkaranji,21226.764000693747
Guntur,Tenali,21271.907191695926
Ongole,Chimakurti,21543.64323632984
Abohar,Malaut,21557.577442342157
Puducherry,Cuddalore,21851.129481307566
Vishakhapatnam,Bhimunipatnam,21942.374270473825
Bharatpur,Fatehpur Sikri,22006.013097307776
Koratla,Jagtial,22240.30936433163
Bhatpara,Habra,22259.479906410183
Panipat,Kairana,22306.10486050554
Madanapalle,Punganuru,22308.912891071468
Bapatla,Ponnuru,22334.80629914155
Kakinada,Draksharama,22605.11305514831
Proddatur,Jammalamadugu,22654.727778206823
Panaji,Loutolim,23194.09853123308
Ahmadabad,Ghandinagar,23498.052893139866
Jaggayyapeta,Niala Kondapalle,23688.896286106396
Indore,Betma,23766.2785945911
Amalapuram,Draksharama,23849.373363807696
Nizamabad,Armur,24051.647025137885
Daman,Silvassa,24139.06870035546
Palakollu,Tanuku,24382.991760706882
Haora,Uluberiya,24522.472127348163
Adoni,Emmiganur,24637.14843361642
Mandya,Shrirangapattana,24845.076137956952
Kolhapur,Ichalkaranji,25237.97326225294
Ponnuru,Pedda Nandipadu,25392.996512988295
